river	geom
Appomattox River 16	"LINESTRING ZM (-77.7683578149999 37.277330702 0 99.999953,-77.7682719489999 37.2772849020001 0 99.102053,-77.7683300149999 37.276667235 0 92.360253,-77.7682448149999 37.2761867020001 0 87.077853,-77.768159015 37.276118035 0 86.021653,-77.7676742149999 37.2748363010001 0 71.447653,-77.767359948 37.2743555010001 0 65.543753,-77.7666453479999 37.2735999010001 0 55.235153,-77.764815547 37.2718594340001 0 30.493653,-77.763700214 37.2709891010001 0 16.934653,-77.7621270129999 37.270072434 0 -4.69999999950232e-005)"
Appomattox River 17	"LINESTRING ZM (-77.772266351 37.287583904 0 99.999953,-77.76989255 37.285545637 0 75.329253,-77.76940655 37.284973237 0 69.200153,-77.7689780159999 37.284263636 0 62.218553,-77.768721349 37.283554236 0 55.675053,-77.7685791489999 37.282844836 0 49.308853,-77.768438015 37.281311836 0 35.687953,-77.768266549 37.2811286360001 0 33.660853,-77.768357349 37.2776740350001 0 3.042353,-77.7683578149999 37.277330702 0 -4.69999999950232e-005)"
Appomattox River 18	"LINESTRING ZM (-77.789377356 37.298510305 0 99.999953,-77.7869729559999 37.297479106 0 87.603653,-77.7819935539999 37.2945469040001 0 59.503453,-77.77993362 37.2930124380001 0 46.708953,-77.775242018 37.289302304 0 16.720253,-77.772781417 37.2877903040001 0 2.617853,-77.772266351 37.287583904 0 -4.69999999950232e-005)"
Appomattox River 19	"LINESTRING ZM (-77.793930024 37.2992683050001 0 99.999953,-77.7927845569999 37.2992219060001 0 75.526153,-77.791438624 37.299060839 0 46.485753,-77.789720957 37.2985563060001 0 7.434153,-77.789377356 37.298510305 0 -4.69999999950232e-005)"
Appomattox River 20	"LINESTRING ZM (-77.806612162 37.304400839 0 99.999953,-77.8062972279999 37.304332039 0 97.764153,-77.805123628 37.303622239 0 87.683453,-77.802433027 37.301927639 0 64.219553,-77.80017156 37.300828106 0 46.089353,-77.797051359 37.299430639 0 21.591853,-77.796593225 37.299293038 0 18.239953,-77.793930024 37.2992683050001 0 -4.69999999950232e-005)"
Appomattox River 21	"LINESTRING ZM (-77.801644562 37.318468309 0 99.999953,-77.803305961 37.318492109 0 92.794353,-77.804595362 37.318149643 0 86.901953,-77.8062285629999 37.3176473090001 0 79.312553,-77.807374829 37.317053109 0 73.386553,-77.8084638289999 37.3164129080001 0 67.522753,-77.80880803 37.315864108 0 64.189853,-77.80918203 37.3138739070001 0 53.262353,-77.80906823 37.3129587080001 0 48.268553,-77.808839763 37.312226507 0 44.171253,-77.808868563 37.3119291080001 0 42.551553,-77.8080970299999 37.3098010410001 0 30.521853,-77.807726829 37.30716984 0 16.144953,-77.8071840279999 37.30554504 0 7.013853,-77.8070124289999 37.305178906 0 4.891053,-77.807069962 37.3050645060001 0 4.221653,-77.806669228 37.304652506 0 1.388753,-77.806612162 37.304400839 0 -4.69999999950232e-005)"
Appomattox River 22	"LINESTRING ZM (-77.797504961 37.3337028450001 0 99.999953,-77.7974191599999 37.333474046 0 98.723353,-77.79664636 37.332672845 0 93.317753,-77.79658936 37.3323754460001 0 91.709553,-77.796762827 37.330659645 0 82.508253,-77.797222227 37.329653245 0 76.782553,-77.798397961 37.3285558440001 0 69.062853,-77.798599028 37.3279838450001 0 65.887253,-77.79868556 37.327434844 0 62.929453,-77.798256427 37.3267940440001 0 59.045253,-77.79768376 37.3264505110001 0 55.987953,-77.79671016 37.3260381110001 0 51.283753,-77.796252027 37.325625911 0 48.337753,-77.796023226 37.3253513110001 0 46.574753,-77.79593756 37.324962311 0 44.463453,-77.7959954259999 37.324504844 0 42.005753,-77.796167559 37.32413891 0 39.916253,-77.796511627 37.323841644 0 37.752553,-77.797342626 37.323613444 0 34.001453,-77.798231027 37.323270843 0 29.790253)"
Appomattox River 23	"LINESTRING ZM (-77.798231027 37.323270843 0 29.790253,-77.7990340269999 37.3224475100001 0 24.211953,-77.7996936279999 37.32155571 0 18.675553,-77.801185828 37.318811243 0 2.682353,-77.801644562 37.318468309 0 -4.69999999950232e-005)"
Appomattox River 24	"LINESTRING ZM (-77.818990034 37.338243913 0 86.456753,-77.818588967 37.3382437120001 0 84.934253,-77.8164975669999 37.3378310460001 0 76.755853,-77.814091433 37.336983445 0 66.771853,-77.812745032 37.336639645 0 61.405453,-77.811283832 37.336524512 0 55.831253,-77.807329964 37.336453846 0 40.817153,-77.80669983 37.336156112 0 38.037453,-77.8049814299999 37.335240046 0 30.193253,-77.80437983 37.335239712 0 27.909353,-77.80300443 37.3353762450001 0 22.647553,-77.8025746289999 37.3353760460001 0 21.015853,-77.801429029 37.334872046 0 16.050153,-77.799624229 37.3345278460001 0 9.005553,-77.7986217609999 37.3342527120001 0 4.981153,-77.797504961 37.3337028450001 0 -4.69999999950232e-005)"
Appomattox River 25	"LINESTRING ZM (-77.822542835 37.3383826460001 0 99.999953,-77.8199928339999 37.3383815130001 0 90.319453,-77.818990034 37.338243913 0 86.456753)"
Appomattox River 26	"LINESTRING ZM (-77.83575164 37.338364245 0 99.999953,-77.834978172 37.3382953120001 0 94.158353,-77.8317119719999 37.3378825120001 0 69.337053,-77.8303080379999 37.3379049120001 0 58.797053,-77.828846571 37.3382477120001 0 47.363653,-77.827786437 37.3383388460001 0 39.360353,-77.822542835 37.3383826460001 0 -4.69999999950232e-005)"
Appomattox River 27	"LINESTRING ZM (-77.836639973 37.3383644460001 0 99.999953,-77.83575164 37.338364245 0 -4.69999999950232e-005)"
Appomattox River 28	"LINESTRING ZM (-77.847955977 37.343811912 0 99.999953,-77.847554843 37.3436746460001 0 96.752153,-77.844174176 37.3421640460001 0 67.921353,-77.8400203739999 37.339806712 0 29.994753,-77.8386741739999 37.338776712 0 16.118353,-77.83772864 37.3383648450001 0 8.102253,-77.836639973 37.3383644460001 0 -4.69999999950232e-005)"
Appomattox River 29	"LINESTRING ZM (-77.852510578 37.3501956470001 0 99.999953,-77.8525397779999 37.348159513 0 74.768253,-77.852138778 37.3470841130001 0 60.864853,-77.8508497779999 37.345230912 0 34.598853,-77.850477244 37.3449105130001 0 29.181953,-77.847955843 37.3439263130001 0 1.417553,-77.847955977 37.343811912 0 -4.69999999950232e-005)"
Appomattox River 30	"LINESTRING ZM (-77.852623979 37.3565327150001 0 99.999953,-77.852595245 37.3564412480001 0 98.568353,-77.852050845 37.3558691150001 0 87.660753,-77.851707179 37.3549769150001 0 73.489553,-77.851707378 37.354153248 0 60.984653,-77.8523096449999 37.3514538470001 0 19.357353,-77.852309845 37.350950648 0 11.717753,-77.852510578 37.3501956470001 0 -4.69999999950232e-005)"
Appomattox River 31	"LINESTRING ZM (-77.852766979 37.357882515 0 99.999953,-77.852623979 37.3565327150001 0 -4.69999999950232e-005)"
Appomattox River 32	"LINESTRING ZM (-77.856950247 37.364334517 0 99.999953,-77.85657778 37.3642429160001 0 96.218253,-77.8555745799999 37.3637166500001 0 84.569953,-77.85414178 37.3623210490001 0 62.635153,-77.853712047 37.3615889160001 0 52.806253,-77.85368338 37.3612913160001 0 49.177553,-77.853540046 37.3612456500001 0 47.680053,-77.853396846 37.3607880490001 0 41.946053,-77.853339846 37.359232315 0 23.024853,-77.852795379 37.3590264490001 0 17.178753,-77.852795379 37.358729049 0 13.563253,-77.853110779 37.3583630480001 0 8.162853,-77.8531394459999 37.358019848 0 3.981253,-77.852766979 37.357882515 0 -4.69999999950232e-005)"
Appomattox River 33	"LINESTRING ZM (-77.86861565 37.3629623160001 0 99.999953,-77.868501051 37.36330545 0 96.719853,-77.867469184 37.364312049 0 84.706353,-77.866752584 37.3647238500001 0 78.196553,-77.86632265 37.3649068490001 0 74.604353,-77.8636857829999 37.3655016490001 0 54.403253,-77.8629119829999 37.36559305 0 48.636553,-77.862195382 37.3653643170001 0 42.946853,-77.862080649 37.36520425 0 41.243453,-77.861937382 37.3649068490001 0 38.300353,-77.861794049 37.3647008500001 0 36.123853,-77.8609915819999 37.3647008500001 0 30.207853,-77.859472448 37.3645177160001 0 18.881353,-77.858096781 37.3642659160001 0 8.476253,-77.856950247 37.364334517 0 -4.69999999950232e-005)"
Appomattox River 34	"LINESTRING ZM (-77.877558387 37.3660732490001 0 99.999953,-77.877472387 37.366050316 0 99.218153,-77.877443654 37.365775716 0 96.241353,-77.8773576529999 37.36573005 0 95.350753,-77.8768129869999 37.364700649 0 83.279253,-77.875752253 37.363328116 0 65.858053,-77.874777652 37.362596115 0 54.319053,-77.874233185 37.3623445150001 0 48.894453,-77.86861565 37.3629623160001 0 -4.69999999950232e-005)"
Appomattox River 35	"LINESTRING ZM (-77.873175187 37.392016455 0 99.999953,-77.873146387 37.390323521 0 93.917853,-77.873891654 37.388996655 0 88.694553,-77.874321588 37.3878755210001 0 84.482853,-77.8745508539999 37.3867316540001 0 80.321453,-77.874694187 37.3865486540001 0 79.546253,-77.876500254 37.3855648540001 0 73.278153,-77.877560855 37.38467252 0 68.860353,-77.8783920549999 37.3832082530001 0 63.085853,-77.878363188 37.3821787190001 0 59.386453,-77.878190988 37.381149319 0 55.655753,-77.878133788 37.3810807190001 0 55.359753,-77.877760855 37.379913919 0 51.034053,-77.877646187 37.3798682520001 0 50.666653,-77.877502788 37.3792734520001 0 48.490753,-77.877416787 37.379204852 0 48.142253,-77.876986454 37.377900852 0 43.298153,-77.876957854 37.377511918 0 41.898553,-77.876843188 37.377237452 0 40.859253,-77.8767856539999 37.3763451180001 0 37.649453,-77.8770149869999 37.375132718 0 33.244753,-77.8771295879999 37.3748581180001 0 32.205053,-77.876957254 37.372273051 0 22.905553,-77.8768425869999 37.372227251 0 22.537953,-77.876555587 37.36923045 0 11.741053,-77.877472387 37.3668053160001 0 2.641353,-77.877558387 37.3660732490001 0 -4.69999999950232e-005)"
Appomattox River 36	"LINESTRING ZM (-77.8675841849999 37.394556122 0 99.999953,-77.867526786 37.394304456 0 96.613553,-77.8672400519999 37.3937096560001 0 88.177053,-77.867211385 37.392725856 0 75.149653,-77.867440785 37.3921310550001 0 66.911053,-77.8681001859999 37.391673455 0 57.680453,-77.8687309859999 37.3913532550001 0 49.783653,-77.869419186 37.3913074550001 0 42.489453,-77.8699352529999 37.3913989220001 0 36.905753,-77.871512187 37.392039455 0 18.215553,-77.8722290539999 37.3921766550001 0 10.429153,-77.872831187 37.3921536550001 0 4.06205300000011,-77.873175187 37.392016455 0 -4.69999999950232e-005)"
Appomattox River 37	"LINESTRING ZM (-77.8667240519999 37.3945560550001 0 99.999953,-77.8675841849999 37.394556122 0 -4.69999999950232e-005)"
Appomattox River 38	"LINESTRING ZM (-77.872144054 37.4040728580001 0 99.999953,-77.871341188 37.404049924 0 94.235353,-77.871140387 37.403798324 0 91.552553,-77.870451987 37.401373457 0 69.188453,-77.870394454 37.400206724 0 58.685553,-77.870251187 37.399726324 0 54.243753,-77.869849586 37.398536656 0 43.161453,-77.869218786 37.3976444560001 0 33.947553,-77.8672114519999 37.395814322 0 12.073053,-77.866838652 37.3952881230001 0 6.636053,-77.8667240519999 37.3945560550001 0 -4.69999999950232e-005)"
Appomattox River 39	"LINESTRING ZM (-77.855108183 37.418279528 0 99.999953,-77.8551082499999 37.417776261 0 98.468553,-77.8556818499999 37.417204327 0 96.239853,-77.857460384 37.4149853270001 0 88.225653,-77.8581487829999 37.4147108600001 0 86.357753,-77.858722384 37.4145507260001 0 84.882753,-77.860012984 37.41484826 0 81.622153,-77.8625082519999 37.41553466 0 75.215853,-77.866695786 37.4171131270001 0 63.974653,-77.867527587 37.417227461 0 61.926053,-77.868818254 37.4172960600001 0 58.786653,-77.869621254 37.4174562600001 0 56.777753,-77.871026854 37.417867927 0 53.143653,-77.8717725879999 37.4183711270001 0 50.772953,-77.872805055 37.418508327 0 48.232653,-77.874181855 37.417844861 0 44.328653,-77.874698055 37.4173872600001 0 42.455553,-77.8752428559999 37.416860926 0 40.378653,-77.875472256 37.4159459260001 0 37.539153,-77.8754433889999 37.41514526 0 35.101753,-77.875213856 37.41432166 0 32.534353,-77.875213656 37.412651526 0 27.452153,-77.875012856 37.411896659 0 25.103953,-77.874926855 37.4118509250001 0 24.853053,-77.874725989 37.4113933250001 0 23.377753,-77.874381789 37.4105698590001 0 20.736353,-77.874381655 37.4101809250001 0 19.552853,-77.874037455 37.409517459 0 17.367853,-77.873893988 37.4087854580001 0 15.113353,-77.873549654 37.407641659 0 11.533853,-77.872975988 37.4067265250001 0 8.420353,-77.872545788 37.405994525 0 5.960253,-77.8723737879999 37.4056514580001 0 4.835953,-77.872144054 37.4040728580001 0 -4.69999999950232e-005)"
Appomattox River 40	"LINESTRING ZM (-77.856254051 37.4323263310001 0 99.999953,-77.8561680509999 37.4320975300001 0 98.486753,-77.856081984 37.4320517310001 0 97.964053,-77.8561106509999 37.4313884630001 0 93.759453,-77.856885451 37.4290320630001 0 78.326253,-77.8585495849999 37.4249371290001 0 51.055153,-77.858664384 37.424159262 0 46.093053,-77.858635785 37.4220774620001 0 32.903353,-77.858549785 37.4217343280001 0 30.686453,-77.8579761839999 37.4209792620001 0 25.093353,-77.8566279839999 37.420704662 0 18.062753,-77.8561118499999 37.420475862 0 15.079153,-77.85579625 37.420178461 0 12.610753,-77.8554521839999 37.4194692610001 0 7.793153,-77.855222784 37.418439661 0 1.168053,-77.855108183 37.418279528 0 -4.69999999950232e-005)"
Appomattox River 41	"LINESTRING ZM (-77.8647457869999 37.4372222650001 0 99.999953,-77.8630531869999 37.436124131 0 79.516253,-77.861446453 37.435460731 0 62.531353,-77.860757986 37.4350718640001 0 54.611253,-77.860413652 37.434728664 0 49.436953,-77.859294985 37.4339966640001 0 35.852353,-77.858462985 37.4337220640001 0 27.399353,-77.857630984 37.433516131 0 19.221253,-77.8567129849999 37.43287553 0 7.76945299999988,-77.856254051 37.4323263310001 0 -4.69999999950232e-005)"
Appomattox River 42	"LINESTRING ZM (-77.8669552549999 37.4429187330001 0 99.999953,-77.866840455 37.442712865 0 96.364653,-77.866381388 37.442118065 0 85.095453,-77.8658074539999 37.441248665 0 69.242353,-77.864860654 37.4397159320001 0 41.673453,-77.864860654 37.439166931 0 32.814853,-77.865003987 37.4379544650001 0 13.163953,-77.8649753879999 37.4374968650001 0 5.770953,-77.864745854 37.4373367310001 0 1.846953,-77.8647457869999 37.4372222650001 0 -4.69999999950232e-005)"
Appomattox River 43	"LINESTRING ZM (-77.874388658 37.457468068 0 99.999953,-77.87077279 37.457605535 0 86.219753,-77.869079657 37.4573312690001 0 79.642753,-77.867156856 37.456805135 0 71.903953,-77.866296055 37.4564848680001 0 68.287753,-77.8658081889999 37.4556613350001 0 63.938553,-77.865779388 37.454471868 0 58.257153,-77.865980189 37.4536710680001 0 54.357353,-77.866955656 37.451612068 0 43.846753,-77.8680745889999 37.449004067 0 30.684053,-77.868476055 37.447539734 0 23.526053,-77.868590989 37.4469678660001 0 20.760353,-77.868390056 37.446670467 0 19.147153,-77.868332656 37.4463959330001 0 17.818053,-77.867328388 37.444863266 0 9.560353,-77.867156055 37.4434448660001 0 2.755153,-77.867069988 37.442987466 0 0.546353,-77.8669552549999 37.4429187330001 0 -4.69999999950232e-005)"
Appomattox River 44	"LINESTRING ZM (-77.8964256639999 37.452362066 0 99.999953,-77.894961198 37.449914666 0 88.080653,-77.894846397 37.4498688670001 0 87.630853,-77.894788864 37.449708732 0 86.898653,-77.8941574629999 37.449342933 0 84.163453,-77.892464396 37.448840133 0 77.832053,-77.8913452629999 37.448611666 0 73.783653,-77.886754461 37.4492074670001 0 57.483953,-77.886151995 37.4495507330001 0 54.888853,-77.8854347939999 37.4501227330001 0 51.333853,-77.883742394 37.4519075330001 0 41.498953,-77.88239406 37.4531202680001 0 34.375653,-77.88067246 37.453898334 0 27.440853,-77.878864859 37.4550425350001 0 19.352753,-77.877057259 37.456415335 0 10.604453,-77.876081792 37.4570331350001 0 6.238953,-77.874732991 37.457353535 0 1.307353,-77.874388658 37.457468068 0 -4.69999999950232e-005)"
Appomattox River 45	"LINESTRING ZM (-77.897346598 37.457898067 0 99.999953,-77.897633265 37.457234467 0 87.781453,-77.897633065 37.4567541340001 0 79.419153,-77.8970585979999 37.455610334 0 57.969853,-77.896914798 37.4550384670001 0 47.816053,-77.8969715979999 37.4537344660001 0 25.100653,-77.896684264 37.452888133 0 9.836553,-77.8964256639999 37.452362066 0 -4.69999999950232e-005)"
Appomattox River 46	"LINESTRING ZM (-77.8951720649999 37.4721508710001 0 99.999953,-77.8945400649999 37.4711672700001 0 92.592553,-77.8943964649999 37.470686937 0 89.282753,-77.8939646649999 37.46787327 0 70.281953,-77.893964064 37.466614936 0 61.847153,-77.894250798 37.4658599360001 0 56.559553,-77.896229265 37.461856068 0 27.714753,-77.896945998 37.4603001350001 0 16.604353,-77.896916798 37.4593164680001 0 10.008853,-77.897117198 37.4581268680001 0 1.963253,-77.897346598 37.457898067 0 -4.69999999950232e-005)"
Appomattox River 47	"LINESTRING ZM (-77.917793806 37.4775637380001 0 99.999953,-77.917449205 37.4775182710001 0 98.671153,-77.917018406 37.4771982710001 0 96.430753,-77.916501072 37.4762604700001 0 91.540553,-77.915811671 37.475528737 0 87.172553,-77.914835204 37.4748657370001 0 82.292353,-77.913485871 37.474454537 0 76.796453,-77.912050471 37.474112071 0 71.096153,-77.9106152699999 37.474021271 0 65.618853,-77.908175469 37.47397647 0 56.334353,-77.905534802 37.474160537 0 46.249853,-77.902119667 37.4751226710001 0 32.469353,-77.901258668 37.475237271 0 29.148353,-77.899880867 37.4752834710001 0 23.902153,-77.899278067 37.4752379380001 0 21.598553,-77.8988186669999 37.475032271 0 19.593953,-77.895487799 37.47228807 0 1.36815299999989,-77.8951720649999 37.4721508710001 0 -4.69999999950232e-005)"
Appomattox River 48	"LINESTRING ZM (-77.927384076 37.4811503380001 0 99.999953,-77.927326809 37.4813333380001 0 98.021353,-77.925662475 37.4819290720001 0 82.767953,-77.924657875 37.4820211380001 0 74.313953,-77.924370674 37.4819069380001 0 71.630653,-77.9231644079999 37.4810611390001 0 58.198053,-77.9215560069999 37.480032538 0 40.956753,-77.919717673 37.4786609380001 0 19.902753,-77.917880006 37.477678138 0 1.399953,-77.917793806 37.4775637380001 0 -4.69999999950232e-005)"
