"","modelseg","modelda","gageID","gageDA"
"78","PS3_6460_6230",374.7090149,1625000,373
"79","PS4_5840_5240",297.394989,1628500,1079
"80","PS5_4370_4150",22.21890068,1636500,3041
"81","PS5_5200_4380",37.53620148,1631000,1634
"82","PS5_5240_5200",262.2600098,1629500,1372
"83","PU0_5620_5380",88.17849731,1605500,179
"84","PU1_3100_3690",104.4660034,1610155,102
"85","PU1_3850_4190",48.5243988,1596500,49.1
"86","PU1_4300_4440",11.11530018,1597500,106
"87","PU1_4760_4450",9.852370262,1595200,48.7
"88","PU2_3900_3750",66.40640259,1616500,273
"89","PU2_4050_4180",10.81620026,1619500,281
"90","PU2_4160_3930",63.76150131,1604500,221
"91","PU2_4720_4750",73.17289734,1595000,73.1
"92","PU2_4730_4220",58.4070015,1615000,58.2
"93","PU2_5190_4310",176.8000031,1608000,277
"94","PU2_5190_4310",176.8000031,1607500,103
"95","PU3_3290_3390",23.48329926,1614500,494
"96","PU3_3680_3890",64.2410965,1601500,247
"97","PU3_3860_3610",60.60020065,1611500,675
"98","PU4_3990_3780",2.578020096,1603000,877
"99","PU4_4210_4170",19.39369965,1608500,1461
"100","PU4_4440_3970",3.282510042,1598500,406
"101","PU4_5050_4310",251.1150055,1606500,651
"102","PU6_3530_3440",16.93250084,1613000,4064
"103","PU6_3870_3690",46.85279846,1610000,3129
"104","PU6_4080_4180",9.777449608,1618000,5953
"105","RL1_6322_0000",29.13820076,1668500,45.6
"106","RL5_6070_0000",334.5299988,1668000,1595
"107","RL5_6320_0000",27.08589935,1669000,27.9
"108","RU2_6200_6170",14.82040024,1666500,179
"109","RU2_6220_6170",131.2870026,1665500,115
"110","RU3_5610_5640",68.77539825,1663500,285
"111","RU4_5640_6030",257.0010071,1664000,619
"112","RU4_6040_6030",226.822998,1667500,468
"113","WM1_3910_0001",32.43420029,1589300,32.5
"114","WM3_4060_0001",83.17700195,1589000,285
"115","WU1_3331_3330",10.43150043,1581700,34.8
"116","WU1_3490_3480",25.70779991,1583500,59.8
"117","WU2_3320_3480",27.92090034,1582500,160
"118","XL0_5320_0001",9.278499603,1594670,9.38
"119","XL1_4690_0001",93.0326004,1594526,89.7
"120","XU2_4070_4330",44.38690186,1591000,34.8
"121","XU2_4270_4650",63.93709946,1594000,98.4
"122","XU2_4330_4480",53.55479813,1591610,78.6
"123","XU2_4330_4480",53.55479813,1592500,132
"124","XU3_4650_0001",9.438010216,1594440,348
"125","YM3_6430_6620",202.7030029,1674000,256
"126","YM4_6620_0001",108.0149994,1674500,603
"127","YP0_6840_0001",4.927700043,1673550,25.5
"128","YP1_6570_6680",106.7480011,1671100,107
"129","YP3_6330_6700",121.6100006,1670400,342
"130","YP3_6690_6720",71.55889893,1672500,395
"131","YP3_6700_6670",3.939049959,1671020,462
"132","YP4_6750_0001",70.19999695,1673000,1078
